case_id,ground_truth,predictions_true,nr_prefixes
c_114560083,1382003.0000,2111401.67834,1
c_1145960664,485428.0000,2146812.37095,1
c_1151018525,1518820.0000,2246454.78215,1
c_1151598575,430653.0000,1778182.08159,1
c_1152706558,1577581.0000,2214024.93134,1
c_115875432,628516.0000,1800810.89559,1
c_1159647718,735160.0000,2393859.04345,1
c_1160345889,770811.0000,1917787.0382,1
c_1160716330,2472528.0000,2150186.14752,1
c_1161266589,1179198.0000,1785750.23785,1
c_1163193079,1279272.0000,2221494.48363,1
c_1163291654,1215215.0000,2201697.93504,1
c_1164113596,1150995.0000,2089712.50907,1
c_1164895484,167072.0000,1996670.58186,1
c_1165924661,1712094.0000,2109910.03528,1
c_1166032926,769269.0000,2146812.37095,1
c_1170931347,405841.0000,2079756.00688,1
c_1174968511,444998.0000,2172345.42874,1
c_1175093878,786692.0000,1751389.64697,1
c_1176095926,1062376.0000,2094030.27305,1
c_1176372876,623866.0000,2128991.94028,1
c_117667027,924828.0000,2112752.69837,1
c_1178554291,1001256.0000,1839594.49261,1
c_1179073626,1109014.0000,2189432.15686,1
c_1180717049,951171.0000,2248043.26734,1
c_1181289999,696044.0000,1417903.2684,1
c_1183136852,833979.0000,2281987.23502,1
c_1183534481,1219696.0000,1753288.66516,1
c_118364998,699579.0000,2270114.2445,1
c_1184507659,1266690.0000,1899481.01371,1
c_1191532637,763448.0000,1846397.67084,1
c_1191648553,1427485.0000,2297058.34457,1
c_1191708035,764356.0000,1824107.23872,1
c_1191734939,528644.0000,1723741.13412,1
c_1191906778,1122519.0000,1726091.09609,1
c_1194598473,580927.0000,2515182.12536,1
c_1196891456,918587.0000,2039822.37896,1
c_1197487517,111230.0000,2111401.67834,1
c_1201267547,1207256.0000,2325104.27564,1
c_1202415638,1351395.0000,2039822.37896,1
c_1202702224,945425.0000,2117763.8182,1
c_1204431926,652602.0000,2427777.97642,1
c_1206779440,852055.0000,2225505.29394,1
c_1207519267,2237917.0000,2002388.92981,1
c_1208202898,1235396.0000,2225915.94359,1
c_1209671482,867013.0000,2221494.48363,1
c_1210140571,96664.0000,2246480.77854,1
c_1210876281,1301332.0000,1610782.22929,1
c_1212433332,867854.0000,2224378.93459,1
c_1213009008,514307.0000,1766833.45316,1
c_1213499868,419317.0000,2002388.92981,1
c_1213737526,870104.0000,1721666.02145,1
c_1216887388,1119672.0000,1660367.15652,1
c_121770332,747530.0000,2079756.00688,1
c_1219106800,842424.0000,2056848.26794,1
c_1219509855,440445.0000,2021853.33443,1
c_1220006118,637968.0000,2376342.7197,1
c_1222681139,350302.0000,1995872.37052,1
c_1223404910,1353325.0000,2146812.37095,1
c_1225769256,1044193.0000,2174578.79318,1
c_1226041324,405745.0000,2189432.15686,1
c_1226442731,2151200.0000,2185862.74141,1
c_1226994121,993174.0000,2296597.6579,1
c_1228403719,1179271.0000,1785750.23785,1
c_1228567666,436394.0000,2172345.42874,1
c_12315854,683683.0000,2332865.44358,1
c_12324686,1341271.0000,1930032.76025,1
c_1237708187,927096.0000,2002388.92981,1
c_1240814574,80743.0000,1549007.57662,1
c_1241999769,1029853.0000,2174578.79318,1
c_1242315969,1021975.0000,2039822.37896,1
c_1243342863,1638176.0000,1781954.91865,1
c_1243522820,1019546.0000,2051495.01305,1
c_1245298665,1450006.0000,2112752.69837,1
c_1248532589,1472613.0000,1904008.70464,1
c_1248765312,1367948.0000,1885015.89896,1
c_1253032803,1109132.0000,2092254.11238,1
c_1254085728,1108879.0000,2264876.94395,1
c_1254258895,932451.0000,1656672.60678,1
c_125718857,580379.0000,1864647.95285,1
c_1257836355,855746.0000,1942104.58387,1
c_1258641337,365700.0000,2021853.33443,1
c_125959990,3219.0000,2111401.67834,1
c_1261424268,1528203.0000,2189432.15686,1
c_1264806747,1306450.0000,2172345.42874,1
c_1266010499,682500.0000,2056848.26794,1
c_1268336526,1113955.0000,2260678.54128,1
c_1270175388,1736304.0000,2089712.50907,1
c_1271159721,609902.0000,2092254.11238,1
c_12716824,713106.0000,2111285.11476,1
c_1273686478,1823597.0000,1221091.07561,1
c_1273899378,349851.0000,1720973.52659,1
c_1275152820,1281184.0000,2174578.79318,1
c_1275708382,1786905.0000,2246454.78215,1
c_1277202210,333603.0000,1595233.87985,1
c_1277464254,425985.0000,2002388.92981,1
c_1278282603,604001.0000,1827893.76714,1
c_1280565629,1073971.0000,2264117.02424,1
c_1281884796,1217089.0000,2172345.42874,1
c_128258840,951630.0000,2021853.33443,1
c_1283651073,1183712.0000,2112752.69837,1
c_1283751278,775275.0000,1257788.723,1
c_1286165737,2371356.0000,2055238.33309,1
c_1286860918,1378929.0000,2248043.26734,1
c_1286997267,758126.0000,2034418.72178,1
c_1289751033,1112346.0000,1919327.81166,1
c_1291971664,1387358.0000,2285700.79149,1
c_1292033349,1022479.0000,1703232.30953,1
c_1292171120,1183712.0000,2204455.22423,1
c_1292203372,1066640.0000,2094923.29679,1
c_1293016027,2141957.0000,2002388.92981,1
c_1294550702,1972053.0000,1885015.89896,1
c_129565630,2473778.0000,2002388.92981,1
c_1297722987,1866005.0000,2112752.69837,1
c_1299856399,1817834.0000,2201697.93504,1
c_1300773256,1789250.0000,1702466.82642,1
c_1300909718,759946.0000,2146812.37095,1
c_1302175045,1122754.0000,1575020.93403,1
c_1304842887,1494921.0000,2231750.55546,1
c_1305064148,53231.0000,2002388.92981,1
c_1306993673,686647.0000,2034418.72178,1
c_1309271875,942022.0000,2092254.11238,1
c_1310964975,1926146.0000,2162128.54452,1
c_131097851,1449302.0000,2146812.37095,1
c_131244628,857725.0000,1921236.76967,1
c_1312537655,1110666.0000,2150186.14752,1
c_1312933469,342925.0000,2172345.42874,1
c_1314683306,290745.0000,1793730.725,1
c_1314823602,2183014.0000,2264876.94395,1
c_1317536471,744538.0000,2264117.02424,1
c_1323041202,1104036.0000,1604248.23068,1
c_1323867616,671753.0000,2185862.74141,1
c_1324680297,1210166.0000,1433063.30435,1
c_1325117141,1280645.0000,1755198.4913,1
c_1325302224,1358119.0000,2515182.12536,1
c_1326172373,1013760.0000,1661484.3233,1
c_1326570106,938367.0000,2189432.15686,1
c_1326874644,1652041.0000,1879622.11033,1
c_1329577059,852059.0000,2039822.37896,1
c_1329630120,1555608.0000,2189432.15686,1
c_1331678337,1517118.0000,2146812.37095,1
c_1333312143,146281.0000,2264117.02424,1
c_1335070161,1862183.0000,2002388.92981,1
c_1337091667,1449583.0000,2146812.37095,1
c_1339399261,1745353.0000,1684067.37322,1
c_1340459622,463230.0000,2213294.74444,1
c_1342529425,87507.0000,1760929.49761,1
c_1343390609,1024414.0000,1853248.27004,1
c_1343499545,694789.0000,1890562.01997,1
c_1344840884,1635614.0000,2112752.69837,1
c_1346612073,1556025.0000,1722380.38141,1
c_1347888391,860999.0000,1921236.76967,1
c_1347988922,2358332.0000,1766833.45316,1
c_13495839,1570404.0000,2094923.29679,1
c_1353492880,1098378.0000,1885015.89896,1
c_1353848792,701902.0000,1660367.15652,1
c_1354066062,106460.0000,2144526.17276,1
c_1356472998,2186157.0000,2111401.67834,1
c_1357696952,186599.0000,1488229.79611,1
c_1359639481,1034287.0000,1820200.61895,1
c_1359982228,93706.0000,1153357.17597,1
c_1360556476,2178544.0000,2204455.22423,1
c_1361510669,843910.0000,2039822.37896,1
c_1362590392,526210.0000,1522286.7314,1
c_1364190015,2134984.0000,2285700.79149,1
c_1364469216,1027586.0000,1899173.42718,1
c_1365437313,1662893.0000,2231750.55546,1
c_136665186,584051.0000,1899481.01371,1
c_1368079884,1357679.0000,2281987.23502,1
c_1369206272,1397285.0000,1905130.48643,1
c_136943471,2171213.0000,2094923.29679,1
c_1370945476,170737.0000,2111285.11476,1
c_1371434911,2329579.0000,2332865.44358,1
c_1372277105,944160.0000,2201697.93504,1
c_1372339201,1385583.0000,2248043.26734,1
c_1374324644,1361511.0000,2111285.11476,1
c_1375303300,1598330.0000,2209021.333,1
c_1376887477,1204943.0000,1942151.52591,1
c_1378219675,1222889.0000,2264876.94395,1
c_1380537001,1601328.0000,2209021.333,1
c_1381887838,1320453.0000,2021853.33443,1
c_138336932,2006045.0000,1562360.4936,1
c_1386564931,1474280.0000,2180054.76772,1
c_1386933499,746362.0000,2112926.48915,1
c_1388031954,2307202.0000,2056848.26794,1
c_1388588699,473686.0000,2146812.37095,1
c_1389114601,793729.0000,2248043.26734,1
c_1389412266,1293179.0000,1880370.21157,1
c_138984809,224797.0000,1761370.30519,1
c_139023923,618284.0000,1462056.20302,1
c_1390442348,918713.0000,2150186.14752,1
c_1390985286,1129214.0000,2248043.26734,1
c_1391267361,1370573.0000,1560559.28795,1
c_1391641676,1275518.0000,2146812.37095,1
c_1391906687,608839.0000,2094610.53285,1
c_139196339,1127760.0000,2128991.94028,1
c_13944300,1219164.0000,1820943.8915,1
c_1395028182,418983.0000,2002388.92981,1
c_1395429395,1171916.0000,2246454.78215,1
c_1395990857,1037219.0000,2204455.22423,1
c_1397721881,1261706.0000,2150186.14752,1
c_1398777870,17123.0000,1785813.58808,1
c_1399403690,988956.0000,2133008.37942,1
c_1400832878,1269923.0000,2287241.56495,1
c_1403714641,203602.0000,2231750.55546,1
c_1403951768,183179.0000,2259642.2823,1
c_140463362,1452910.0000,1593926.97462,1
c_1405620680,537071.0000,2259663.82063,1
c_1406835873,1395454.0000,2144526.17276,1
c_1410285531,2031434.0000,2397877.47207,1
c_1410406047,1473799.0000,1431121.47498,1
c_1411706021,596517.0000,2079756.00688,1
c_1411774040,1100934.0000,1785750.23785,1
c_1413647211,1212409.0000,1753583.93964,1
c_1417474847,447904.0000,2094610.53285,1
c_1417928243,742664.0000,2112752.69837,1
c_1418293533,1178476.0000,2150186.14752,1
c_1419458810,1194173.0000,1899173.42718,1
c_1419488876,933456.0000,2185862.74141,1
c_1423878486,773809.0000,1417903.2684,1
c_1425136490,1247443.0000,2375685.20322,1
c_1426260594,3955.0000,1885015.89896,1
c_1429834706,1717028.0000,2150186.14752,1
c_1434518975,1208973.0000,2092254.11238,1
c_1435504879,164231.0000,1348921.84939,1
c_143630403,919290.0000,2002388.92981,1
c_1436502383,1193590.0000,2112752.69837,1
c_1437497198,947364.0000,2486172.37311,1
c_1437774690,753520.0000,2039822.37896,1
c_1439034221,574076.0000,2002388.92981,1
c_1440531646,784199.0000,2094923.29679,1
c_1442097997,129392.0000,2214024.93134,1
c_1442369492,1217482.0000,1971997.20427,1
c_1444191625,1170682.0000,2219112.21142,1
c_1444888275,1900120.0000,1793730.725,1
c_1445301194,1153742.0000,2121670.92362,1
c_144815637,872159.0000,1575020.93403,1
c_1449487653,1215766.0000,2213294.74444,1
c_1449518436,697095.0000,2185862.74141,1
c_144959075,1821691.0000,2162128.54452,1
c_1450689239,1619065.0000,1899173.42718,1
c_1452318915,830638.0000,2150186.14752,1
c_1452593339,653502.0000,2281987.23502,1
c_1453309038,1103929.0000,2079756.00688,1
c_1453589065,342602.0000,2221686.26888,1
c_1454026823,1892639.0000,1810992.70634,1
c_1454329645,957740.0000,1945448.42055,1
c_1456223716,926382.0000,2219112.21142,1
c_1458277433,1580186.0000,2128991.94028,1
c_1459684566,705534.0000,2172345.42874,1
c_1460504921,1648079.0000,1971997.20427,1
c_1464437874,1283880.0000,2190972.93033,1
c_1464780823,857552.0000,1720973.52659,1
c_1465486025,838909.0000,1658213.38025,1
c_146650261,938259.0000,1945448.42055,1
c_1467101602,605868.0000,1778182.08159,1
c_146904914,1014216.0000,2190972.93033,1
c_1469289455,1344370.0000,2219112.21142,1
c_1469334320,2391412.0000,2092254.11238,1
c_147056337,178521.0000,1789628.44032,1
c_1470819740,1448042.0000,2117189.45603,1
c_1471430106,2377826.0000,1834880.27491,1
c_1472969785,1381437.0000,2172345.42874,1
c_1473563456,872353.0000,2111285.11476,1
c_1475545655,515902.0000,2056848.26794,1
c_1479317863,155939.0000,2172345.42874,1
c_1482415464,1196282.0000,1827893.76714,1
c_1483800027,532316.0000,1833687.45014,1
c_1483928070,760206.0000,2185862.74141,1
c_1485877917,1099472.0000,2039822.37896,1
c_1489510821,1034746.0000,2094610.53285,1
c_1489581984,1723262.0000,2285700.79149,1
c_1489786126,1709629.0000,2332865.44358,1
c_1494056730,1195260.0000,2092254.11238,1
c_1494414449,1277703.0000,1982831.16794,1
c_1495187612,1129182.0000,2111285.11476,1
c_1495262961,1003083.0000,2002388.92981,1
c_1495588845,1547967.0000,2486172.37311,1
c_1495927013,1116715.0000,2225915.94359,1
c_1497050490,1047007.0000,2224378.93459,1
c_1498483020,503873.0000,1971997.20427,1
c_1500082122,1390235.0000,2332865.44358,1
c_1503054725,522375.0000,1680382.89544,1
c_1503936617,699921.0000,1704394.03107,1
c_1505801050,1806670.0000,2209021.333,1
c_1506673860,601167.0000,1919327.81166,1
c_1509198590,2202171.0000,2408527.51547,1
c_150955778,774970.0000,2172345.42874,1
c_1509724255,616839.0000,1803034.6517,1
c_1509740627,1362117.0000,2112752.69837,1
c_1511779865,867392.0000,1750283.75134,1
c_1512229591,352848.0000,1800810.89559,1
c_1512607613,603210.0000,2332865.44358,1
c_1517065409,862981.0000,2232135.00004,1
c_151760649,95835.0000,2021853.33443,1
c_1517703496,1511197.0000,2276111.50506,1
c_1518842217,1208832.0000,2111285.11476,1
c_1523593634,979989.0000,2533086.9067,1
c_1523986735,604883.0000,1912051.96344,1
c_152784845,1985534.0000,2332865.44358,1
c_1528403015,494.0000,1996670.58186,1
c_1529928107,1108211.0000,2209021.333,1
c_1530321110,1876067.0000,2325104.27564,1
c_1531372937,2035678.0000,2186115.51992,1
c_1533701290,1627852.0000,2146812.37095,1
c_1534175598,1248800.0000,2480792.54547,1
c_1538422690,925802.0000,2185862.74141,1
c_1540923403,787316.0000,2094030.27305,1
c_154179391,1668642.0000,1753650.07388,1
c_1541826188,426563.0000,1812007.53908,1
c_1546375758,1096860.0000,2146812.37095,1
c_1548060693,719276.0000,2276111.50506,1
c_1548314268,706473.0000,2190972.93033,1
c_1549644894,594624.0000,1680382.89544,1
c_1550148814,961922.0000,1431121.47498,1
c_1550626027,544729.0000,1682553.82547,1
c_1550854529,939668.0000,2162128.54452,1
c_1553960104,1190562.0000,1853802.08771,1
c_1555010506,761761.0000,2190972.93033,1
c_1557296300,1286244.0000,2246454.78215,1
c_155736295,2064519.0000,2002388.92981,1
c_1557471536,266303.0000,2021853.33443,1
c_156118453,1120155.0000,2221494.48363,1
c_1562170126,835930.0000,2042097.49319,1
c_1562493713,1699448.0000,2209021.333,1
c_156618714,1612364.0000,2146812.37095,1
c_1568090978,951178.0000,1853248.27004,1
c_1571475247,660032.0000,2002388.92981,1
c_1571707441,577588.0000,2050424.60999,1
c_1572708761,938112.0000,2034418.72178,1
c_1573876833,1475219.0000,1942104.58387,1
c_1574960885,860159.0000,2062109.1377,1
c_1575570277,87152.0000,2209021.333,1
c_1576819977,1199990.0000,2117189.45603,1
c_1578090032,2411074.0000,1875077.866,1
c_1579516377,1438402.0000,2281987.23502,1
c_1581096487,1635715.0000,2174578.79318,1
c_1581655140,790537.0000,2094610.53285,1
c_1582743424,812157.0000,2264117.02424,1
c_1583345011,1246659.0000,2225505.29394,1
c_158534171,22083.0000,2172345.42874,1
c_1589000981,104686.0000,2021853.33443,1
c_1589590132,949431.0000,2189432.15686,1
c_1589624760,597389.0000,1810992.70634,1
c_1589946896,947661.0000,2487778.94876,1
c_1590453625,659494.0000,2209021.333,1
c_1590791050,2555434.0000,2281987.23502,1
c_1596032771,929174.0000,2002388.92981,1
c_1596066079,266696.0000,1827893.76714,1
c_1598268086,1565147.0000,2030453.13283,1
c_159963009,610805.0000,2204455.22423,1
c_1602281715,838009.0000,2185862.74141,1
c_1603703311,371473.0000,2094610.53285,1
c_1604619511,1174655.0000,2146812.37095,1
c_1605593231,414747.0000,1680382.89544,1
c_1607821509,939313.0000,2209021.333,1
c_1609910072,1528329.0000,2324932.97956,1
c_1612452340,855030.0000,2092254.11238,1
c_1612557107,101945.0000,2270114.2445,1
c_1613334429,1762343.0000,2534432.58631,1
c_1613424845,932061.0000,2285700.79149,1
c_1613537882,1195941.0000,1846170.58121,1
c_1614968186,960321.0000,2111401.67834,1
c_1618821415,608141.0000,1705943.99142,1
c_1619420792,523231.0000,2264876.94395,1
c_1620539143,1110279.0000,2042097.49319,1
c_1622141165,1210527.0000,1780641.30444,1
c_1623607293,421611.0000,2285700.79149,1
c_1624434007,1130933.0000,2224378.93459,1
c_1627130886,787276.0000,1917787.0382,1
c_1627432412,327322.0000,1462532.31712,1
c_1629971398,1431271.0000,2150186.14752,1
c_1630475769,771024.0000,1842627.41811,1
c_1632754032,746250.0000,2119145.7809,1
c_1635482301,1086333.0000,1864647.95285,1
c_1636659317,318750.0000,2092254.11238,1
c_1638196726,883332.0000,2162128.54452,1
c_1638379755,1229422.0000,1789628.44032,1
c_1639833431,657323.0000,2055542.80884,1
c_1641972620,608314.0000,2042097.49319,1
c_1642811374,2491702.0000,1720016.88858,1
c_164769477,520579.0000,2162128.54452,1
c_1649732255,1042132.0000,1544953.79833,1
c_1650416539,1710726.0000,2146812.37095,1
c_1651597384,1375316.0000,2190972.93033,1
c_1652192703,2212123.0000,2186115.51992,1
c_1652374080,2496.0000,2112752.69837,1
c_165310345,26167.0000,1789628.44032,1
c_1656189522,1718139.0000,1781954.91865,1
c_1658869403,1274632.0000,2117189.45603,1
c_1658966712,703078.0000,1348921.84939,1
c_1659255564,341214.0000,2048883.83652,1
c_1661566238,485895.0000,1885015.89896,1
c_1661574532,97879.0000,2180054.76772,1
c_1662487403,1904143.0000,1827893.76714,1
c_1663648698,1486801.0000,1832899.03036,1
c_1664614522,600760.0000,2056848.26794,1
c_1664621088,699021.0000,2174578.79318,1
c_1664858516,684544.0000,1818272.25097,1
c_1665438389,867929.0000,1700476.36933,1
c_167026411,735405.0000,2299572.6297,1
c_1670410559,832440.0000,2146812.37095,1
c_1670585897,2208356.0000,2150186.14752,1
c_1670768029,112938.0000,2020669.80732,1
c_1670926863,1551911.0000,1644883.00255,1
c_1672037226,1565674.0000,2332865.44358,1
c_1673456670,2374023.0000,2281987.23502,1
c_1674949270,944598.0000,2332865.44358,1
c_1677049820,369182.0000,2172345.42874,1
c_167825309,939603.0000,1656672.60678,1
c_1679215860,572599.0000,1842627.41811,1
c_1679927360,917949.0000,2041509.40399,1
c_1680734516,79197.0000,2133008.37942,1
c_1681361801,2126522.0000,1842627.41811,1
c_1685939887,2247531.0000,2115277.8411,1
c_1686397683,606947.0000,2135385.02281,1
c_1693205382,145619.0000,2039822.37896,1
c_1694615111,709119.0000,2111285.11476,1
c_1696233759,1277013.0000,2050424.60999,1
c_1697237703,2067840.0000,2043638.26666,1
c_1697844636,1692793.0000,2276111.50506,1
c_1697931268,1371951.0000,2111401.67834,1
c_1699165633,1779587.0000,2039822.37896,1
c_1703969285,527431.0000,1754010.8064,1
c_1705068509,792140.0000,2111285.11476,1
c_1705897613,54783.0000,2146812.37095,1
c_1705931507,940256.0000,1942104.58387,1
c_1706151514,588674.0000,2281987.23502,1
c_1706313428,1292447.0000,1998211.35533,1
c_1706407359,1873719.0000,2002388.92981,1
c_1711867932,77488.0000,2045429.81949,1
c_1712822769,935075.0000,1656672.60678,1
c_1713151358,1553783.0000,2094610.53285,1
c_1713280237,522917.0000,2185862.74141,1
c_1714501335,1291158.0000,2221494.48363,1
c_1716698141,508183.0000,2224378.93459,1
c_1726110813,615269.0000,1556884.70984,1
c_1727057027,859082.0000,1776996.06538,1
c_1727581145,2125067.0000,1678069.80579,1
c_1728707744,503100.0000,2039822.37896,1
c_1729824097,1075709.0000,2515182.12536,1
c_1730126086,1119994.0000,2287241.56495,1
c_1731589435,351150.0000,2201697.93504,1
c_1732322692,611779.0000,2325104.27564,1
c_1732926428,100413.0000,2332865.44358,1
c_1734409648,1540639.0000,1846170.58121,1
c_1734947142,785442.0000,2094923.29679,1
c_1735419863,375344.0000,2111401.67834,1
c_1735741695,1825375.0000,1500380.99121,1
c_1738181448,264344.0000,1892785.55146,1
c_1738323716,648190.0000,2281987.23502,1
c_1740531421,928570.0000,2112752.69837,1
c_1741874816,624637.0000,2192807.10839,1
c_1742086313,1355496.0000,2092254.11238,1
c_1742866950,992764.0000,2480792.54547,1
c_1746821543,155842.0000,2393859.04345,1
c_1748551648,1107088.0000,1942104.58387,1
c_1748600294,703944.0000,1345601.82783,1
c_1750072176,1213466.0000,2111285.11476,1
c_1750932659,1772618.0000,2276111.50506,1
c_1753972754,1168629.0000,2219112.21142,1
c_175406399,2296496.0000,2112752.69837,1
c_1755263044,1828543.0000,2021853.33443,1
c_1757332206,1202142.0000,1917787.0382,1
c_175918237,764781.0000,2150186.14752,1
c_1759206616,958417.0000,2332865.44358,1
c_1761167654,133807.0000,2246454.78215,1
c_1761486530,422460.0000,2172345.42874,1
c_1767149478,1436714.0000,2220051.85017,1
c_1770123129,620125.0000,1820943.8915,1
c_1772618335,783930.0000,1892785.55146,1
c_1773437231,1453150.0000,2246454.78215,1
c_1774613964,431084.0000,2094610.53285,1
c_177481333,394030.0000,2112752.69837,1
c_1775428933,666901.0000,1755198.4913,1
c_1777454448,1996632.0000,2224378.93459,1
c_1778205577,738195.0000,2186115.51992,1
c_1778559212,770129.0000,2112752.69837,1
c_177985707,662632.0000,2246454.78215,1
c_1780440689,363866.0000,2094923.29679,1
c_1780482603,600950.0000,1582622.63045,1
c_178100585,60225.0000,2050424.60999,1
c_1782198949,350728.0000,1998211.35533,1
c_1783531743,1437823.0000,2002388.92981,1
c_178752186,104162.0000,2155130.83999,1
c_1789018492,933633.0000,1847598.33045,1
c_1791899364,799075.0000,2012793.42699,1
c_1792989829,930058.0000,2221494.48363,1
c_1793506570,1195460.0000,2092254.11238,1
c_1794381253,538073.0000,2325104.27564,1
c_1795986679,787198.0000,2248043.26734,1
c_179713283,758229.0000,2079756.00688,1
c_1797276682,1822728.0000,1776413.65157,1
c_1801180457,840368.0000,2190972.93033,1
c_1801822059,1257200.0000,2246454.78215,1
c_1803607870,1906356.0000,2224378.93459,1
c_1804015364,427179.0000,2421608.90634,1
c_1807824668,1898150.0000,2111401.67834,1
c_1810505243,1197156.0000,1766833.45316,1
c_1811471028,786089.0000,2325104.27564,1
c_1811993938,1420.0000,2043638.26666,1
c_1813196768,693678.0000,1766833.45316,1
c_1814409422,1036319.0000,1666626.50214,1
c_1814688365,12275.0000,2264876.94395,1
c_1815373434,1638250.0000,2332865.44358,1
c_1817634000,854975.0000,1945448.42055,1
c_182066441,702356.0000,2144526.17276,1
c_1822344771,754003.0000,2002388.92981,1
c_1822579002,707351.0000,2172345.42874,1
c_1824029008,688996.0000,1799912.99402,1
c_1824209977,652712.0000,1915567.6455,1
c_1826872953,1211856.0000,2248043.26734,1
c_1827376481,2414073.0000,2111401.67834,1
c_1827685541,1210603.0000,1867327.42767,1
c_1827919587,786939.0000,1766833.45316,1
c_182815865,770590.0000,2002388.92981,1
c_1832493729,1582196.0000,2108917.58909,1
c_1835001438,769250.0000,2201697.93504,1
c_183528099,68204.0000,2092254.11238,1
c_1835712802,550607.0000,2089712.50907,1
